subject_id,filename,has_practice_effect,notes
sub412,EIT_horizontask_sub412_20191105T083228.mat,0,
sub414,EIT_horizontask_sub414_20191117T202634.mat,0,
sub416,EIT_horizontask_sub416_20191118T082945.mat,0,
sub419,EIT_horizontask_sub419_20191015T090432.mat,0,
sub420,EIT_horizontask_sub420_20191015T084013.mat,0,Duplicate identical game:EIT_horizontask_sub420_20191015T084013 copy.mat | EIT_horizontask_sub420_20191015T084013.mat
sub421,EIT_horizontask_sub421_20191022T084609.mat,0,
sub423,EIT_horizontask_sub423_20191118T083320.mat,0,
sub424,EIT_horizontask_sub424_20191031T085419.mat,0,
sub427,EIT_horizontask_sub427_20200114T083811.mat,0,
sub431,EIT_horizontask_sub431_20200113T082015.mat,0,
sub432,EIT_horizontask_sub432_20191021T203856.mat,0,
sub433,EIT_horizontask_sub433_20200222T081458.mat,0,
sub434,EIT_horizontask_sub434_20191030T083409.mat,0,
sub436,EIT_horizontask_sub436_20191203T202016.mat,0,
sub438,EIT_horizontask_sub438_20191029T082635.mat,0,
sub439,EIT_horizontask_sub439_20191103T083348.mat,0,
sub440,EIT_horizontask_sub440_20191124T081901.mat,0,
sub441,EIT_horizontask_sub441_20191124T202828.mat,0,
sub442,EIT_horizontask_sub442_20200216T083419.mat,0,
sub444,EIT_horizontask_sub444_20200107T083605.mat,0,
sub445,EIT_horizontask_sub445_20200108T082123.mat,0,
sub446,EIT_horizontask_sub446_20200115T081150.mat,0,
sub447,EIT_horizontask_sub447_20200114T084605.mat,0,
sub448,EIT_horizontask_sub448_20200218T082848.mat,0,
sub451,EIT_horizontask_sub451_20200207T083711.mat,0,
sub454,EIT_horizontask_sub454_20200116T083756.mat,0,
sub456,EIT_horizontask_sub456_20200116T201452.mat,0,
sub457,EIT_horizontask_sub457_20200107T083404.mat,0,Duplicate identical game:EIT_horizontask_sub457_20200107T083404 2.mat | EIT_horizontask_sub457_20200107T083404.mat
sub458,EIT_horizontask_sub458_20200106T082640.mat,0,
sub459,EIT_horizontask_sub459_20200117T082621.mat,0,
sub460,EIT_horizontask_sub460_20200115T082528.mat,0,
sub461,EIT_horizontask_sub461_20200106T081306.mat,0,
sub463,EIT_horizontask_sub463_20200117T090351.mat,0,
sub465,EIT_horizontask_sub465_20200121T083800.mat,0,
sub466,EIT_horizontask_sub466_20200128T081513.mat,0,
sub467,EIT_horizontask_sub467_20200201T083629.mat,0,
sub468,EIT_horizontask_sub468_20200130T203655.mat,1,Duplicate subject with different game data:EIT_horizontask_sub468_20200108T085339.mat | EIT_horizontask_sub468_20200130T203655.mat
sub469,EIT_horizontask_sub469_20200105T081246.mat,0,
sub471,EIT_horizontask_sub471_20200131T083445.mat,0,
sub473,EIT_horizontask_sub473_20200228T080941.mat,0,
sub474,EIT_horizontask_sub474_20200207T083602.mat,0,
sub476,EIT_horizontask_sub476_20200221T081641.mat,0,
sub478,EIT_horizontask_sub478_20200123T082113.mat,0,
sub479,EIT_horizontask_sub479_20200116T082349.mat,0,
sub480,EIT_horizontask_sub480_20200121T083910.mat,0,
sub481,EIT_horizontask_sub481_20200205T081513.mat,0,
sub483,EIT_horizontask_sub483_20200125T082717.mat,0,
sub486,EIT_horizontask_sub486_20200208T084248.mat,0,
sub487,EIT_horizontask_sub487_20200128T082158.mat,0,
sub488,EIT_horizontask_sub488_20200131T083840.mat,0,
sub489,EIT_horizontask_sub489_20200124T202707.mat,0,
sub490,EIT_horizontask_sub490_20200205T083056.mat,0,
sub491,EIT_horizontask_sub491_20200127T083715.mat,0,
sub492,EIT_horizontask_sub492_20200211T083647.mat,0,
sub494,EIT_horizontask_sub494_20200123T085141.mat,1,Duplicate subject with different game data:EIT_horizontask_sub494_20200123T083831.mat | EIT_horizontask_sub494_20200123T085141.mat
sub497,EIT_horizontask_sub497_20200229T082310.mat,0,
sub499,EIT_horizontask_sub499_20200204T081559.mat,0,
sub500,EIT_horizontask_sub500_20200130T083602.mat,0,
sub501,EIT_horizontask_sub501_20200206T082540.mat,0,
sub502,EIT_horizontask_sub502_20200127T081608.mat,0,
sub503,EIT_horizontask_sub503_20200131T082459.mat,0,
sub504,EIT_horizontask_sub504_20200210T084435.mat,0,
sub510,EIT_horizontask_sub510_20200129T203040.mat,0,
sub511,EIT_horizontask_sub511_20200203T082132.mat,0,
sub512,EIT_horizontask_sub512_20200212T202941.mat,0,
sub513,EIT_horizontask_sub513_20200210T084533.mat,0,
sub514,EIT_horizontask_sub514_20200206T082743.mat,0,
sub515,EIT_horizontask_sub515_20200211T083415.mat,0,
sub516,EIT_horizontask_sub516_20200210T202937.mat,0,
sub517,EIT_horizontask_sub517_20200306T082550.mat,0,
sub518,EIT_horizontask_sub518_20200219T202904.mat,0,
sub519,EIT_horizontask_sub519_20200209T202218.mat,0,
sub520,EIT_horizontask_sub520_20200211T202406.mat,0,
sub521,EIT_horizontask_sub521_20200204T202725.mat,0,
sub522,EIT_horizontask_sub522_20200204T083042.mat,0,
sub523,EIT_horizontask_sub523_20200207T083414.mat,0,
sub524,EIT_horizontask_sub524_20200225T083505.mat,0,
sub525,EIT_horizontask_sub525_20200202T203722.mat,0,
sub526,EIT_horizontask_sub526_20200204T084037.mat,0,
sub527,EIT_horizontask_sub527_20200203T205357.mat,0,
sub530,EIT_horizontask_sub530_20200209T084301.mat,0,
sub532,EIT_horizontask_sub532_20200205T202902.mat,0,
sub533,EIT_horizontask_sub533_20200225T081845.mat,0,
sub534,EIT_horizontask_sub534_20200302T082309.mat,0,
sub540,EIT_horizontask_sub540_20200225T085023.mat,0,
sub541,EIT_horizontask_sub541_20200210T084947.mat,0,
sub546,EIT_horizontask_sub546_20200214T082645.mat,0,
sub547,EIT_horizontask_sub547_20200220T084447.mat,0,
sub549,EIT_horizontask_sub549_20200224T082945.mat,0,
sub550,EIT_horizontask_sub550_20200217T082804.mat,0,
sub553,EIT_horizontask_sub553_20200219T082559.mat,0,
sub556,EIT_horizontask_sub556_20200310T084240.mat,0,
sub557,EIT_horizontask_sub557_20200310T082336.mat,0,
sub558,EIT_horizontask_sub558_20200302T083205.mat,0,
sub560,EIT_horizontask_sub560_20200220T083420.mat,0,
sub561,EIT_horizontask_sub561_20200221T201827.mat,0,
sub566,EIT_horizontask_sub566_20200226T081952.mat,0,
sub568,EIT_horizontask_sub568_20200223T082310.mat,0,
sub569,EIT_horizontask_sub569_20200224T084044.mat,0,
sub571,EIT_horizontask_sub571_20200225T082222.mat,0,
sub572,EIT_horizontask_sub572_20200224T204203.mat,0,
sub573,EIT_horizontask_sub573_20200227T084448.mat,0,
sub574,EIT_horizontask_sub574_20200227T072957.mat,0,
sub575,EIT_horizontask_sub575_20200227T083156.mat,0,
sub577,EIT_horizontask_sub577_20200226T083954.mat,0,
sub580,EIT_horizontask_sub580_20200220T204111.mat,0,
sub583,EIT_horizontask_sub583_20200303T084359.mat,0,
sub585,EIT_horizontask_sub585_20200302T082623.mat,0,
sub588,EIT_horizontask_sub588_20200304T083029.mat,0,
